@relation exp_4th_10

@attribute 	ax	numeric
@attribute 	ay	numeric
@attribute 	az	numeric
@attribute 	gx	numeric
@attribute 	gy	numeric
@attribute 	gz	numeric
@attribute 	SMVAcc	numeric
@attribute 	SMVGyro	numeric
@attribute 	SMA30Acc	numeric
@attribute 	SMA30Gyro	numeric
@attribute 	Angle	numeric


@data
1.05, 0.08, 0.62, 107.73, 108.7, 15.34, 1.22201, 153.808, 1.75, 231.77, 51.6839
0.11, -0.2, 1.32, 15.85, 249.99, -12.91, 1.33959, 250.824, 1.69, 255.26, 71.3371
-0.5, 0.11, 1.35, -23.45, -25.63, 11.54, 1.44381, 36.6056, 1.78, 190.38, 69.5127
0.23, -0.04, 0.54, -16.28, 14.11, 3.49, 0.588303, 21.8245, 1.5375, 151.255, 57.3164
-0.22, -0.04, 0.77, -9.24, 117.61, -21.63, 0.80181, 119.939, 1.436, 150.7, 39.6461
-0.34, -0.17, 1.2, 75.29, 26.16, -30.28, 1.25877, 85.2632, 1.48167, 147.538, 78.463
-0.15, -0.15, 1.33, 93.33, -86.31, -115.59, 1.34681, 171.817, 1.50286, 168.637, 70.7312
0.03, 0.4, 1.23, 14.34, -118.59, -53.88, 1.29375, 131.043, 1.5225, 170.909, 76.7029
0.02, 0.5, 0.68, -55.54, -42.59, 23.29, 0.844275, 73.7633, 1.48667, 165.41, 47.1564
0.33, 0.19, 0.45, -59.55, -95.61, 11.09, 0.589491, 113.183, 1.435, 165.494, 63.2563
0.76, -0.02, 0.64, 82.37, -62.62, -95.56, 0.993781, 140.847, 1.43364, 172.317, 50.2082
0.49, 0.01, 1.19, 73.05, 52.06, 5.32, 1.28697, 89.8602, 1.455, 168.827, 79.0472
-0.04, 0.12, 1.43, -52.19, 87.43, -7.61, 1.43558, 102.106, 1.46538, 167.165, 64.5324
-0.01, 0.47, 0.87, -84.54, 39.88, -17.21, 0.988888, 95.0453, 1.45714, 165.341, 29.5414
-0.18, 0.08, 0.44, -83.59, 100, -76, 0.482079, 150.875, 1.40667, 171.625, 63.8961
-0.38, -0.32, 0.9, 50.32, 33.79, -26.75, 1.02801, 66.2528, 1.41875, 167.827, 25.8419
-0.38, -0.23, 1.31, 88.15, -134.06, -56.5, 1.38326, 170.102, 1.44824, 174.349, 71.9408
0.18, 0.54, 1.14, 21.92, -250, -58.88, 1.27421, 257.774, 1.47111, 183.041, 81.9522
0.72, 0.62, 0.44, -69.86, -74.23, -17.29, 1.04709, 103.39, 1.48737, 181.901, 63.8961
1.01, 0.14, 0.64, -60.1, -66.75, -68.95, 1.20387, 113.233, 1.5025, 182.596, 50.2082
0.67, -0.01, 0.72, 24.25, 85.97, -84.61, 0.983565, 123.036, 1.49762, 183.179, 43.9455
0.8, -0.2, 0.72, 77.13, 118.22, -34.71, 1.09471, 145.361, 1.50773, 185.31, 43.9455
0.41, 0, 0.96, -42.36, 148.42, 24.77, 1.04389, 156.322, 1.50174, 186.624, 16.2602
0.11, 0.42, 0.75, -89.43, 92.18, -23.9, 0.866603, 130.637, 1.4925, 187.411, 41.4096
-0.45, 0.09, 0.66, -73.15, 164.47, -80.02, 0.803866, 196.989, 1.4808, 192.62, 48.7001
-0.42, -0.31, 1.15, 44.04, 43.26, -17.69, 1.26293, 64.2175, 1.49615, 189.25, 81.3731
-0.07, -0.12, 1.47, 147.09, -250, -133.71, 1.47655, 319.396, 1.50222, 201.9, 61.9657
0.6, 0.41, 0.82, -93.71, -40.17, -19.74, 1.09567, 103.85, 1.51393, 200.176, 34.9152
1.02, 0.09, 0.66, -10.31, -81.7, -110.55, 1.21824, 137.85, 1.52276, 200.258, 48.7001
0.74, 0.2, 0.49, -15.17, 65.9, -48.13, 0.90978, 83.0026, 1.51967, 197.889, 60.6594
0.99, -0.19, 0.57, 43.98, 137.48, -27.3, 1.15806, 146.902, 1.51967, 197.122, 55.2498
0.46, 0.09, 0.62, -23.61, 64.73, -17.38, 0.777239, 71.0596, 1.50433, 191.355, 51.6839
0.01, 0.41, 1.13, -157.24, 65.44, -101.2, 1.20212, 198.112, 1.49067, 200.13, 82.5304
-0.58, -0.1, 1.08, -47.82, 168.98, -92.39, 1.22996, 198.436, 1.52233, 209.307, 85.4114
-0.13, -0.27, 0.98, 64.12, -63.83, -127.73, 1.02479, 156.527, 1.534, 212.88, 11.4783
0.08, 0.17, 1.02, 109.74, -223.2, -193.37, 1.03716, 315.045, 1.51933, 226.033, 88.854
0.32, 0.71, 0.76, -53.46, -109.15, -19.51, 1.08816, 123.095, 1.52467, 222.263, 40.5358
0.65, 0.15, 1.05, -36.63, -94.99, 12.09, 1.24399, 102.523, 1.531, 220.826, 87.134
1.17, -0.07, 0.49, -17.94, -111.1, -110.24, 1.27039, 157.537, 1.54867, 224.755, 60.6594
0.49, 0.32, 0.88, -22.27, 66.27, -25.25, 1.05683, 74.3319, 1.57267, 223.006, 28.3576
0.75, 0.11, 0.64, -13.3, 124.15, 32.94, 0.992069, 129.132, 1.57533, 220.667, 50.2082
0.61, -0.01, 0.79, 33.46, 125.89, -5.56, 0.998148, 130.379, 1.566, 221.817, 37.8145
0.55, 0.14, 0.87, -90.73, 154.25, -85.01, 1.03875, 198.12, 1.565, 227.909, 29.5414
